,vehicle_category,zone_in,zone_out,hour,day_category,avg_traffic
0,bicycle,1,3,7,weekday,1.5
1,bicycle,1,3,8,weekend,1.0
2,bicycle,1,3,8,weekday,1.5
3,bicycle,1,3,9,weekday,1.1428571428571428
4,bicycle,1,3,10,weekend,2.0
5,bicycle,1,3,10,weekday,1.5
6,bicycle,1,3,11,weekend,1.0
7,bicycle,1,3,11,weekday,1.0
8,bicycle,1,3,12,weekend,1.3333333333333333
9,bicycle,1,3,12,weekday,1.0
10,bicycle,1,3,13,weekend,1.0
11,bicycle,1,3,13,weekday,1.0
12,bicycle,1,3,14,weekend,2.0
13,bicycle,1,3,14,weekday,1.0
14,bicycle,1,3,15,weekend,1.3333333333333333
15,bicycle,1,3,15,weekday,1.0
16,bicycle,1,3,16,weekend,1.0
17,bicycle,1,3,16,weekday,1.0
18,bicycle,1,3,17,weekend,1.0
19,bicycle,1,3,17,weekday,1.0
20,bicycle,1,3,18,weekend,1.0
21,bicycle,1,3,18,weekday,1.0
22,bicycle,1,3,19,weekday,1.0
23,bicycle,1,3,21,weekday,1.0
24,bicycle,1,5,8,weekday,1.0
25,bicycle,1,5,9,weekday,1.0
26,bicycle,1,5,10,weekday,1.0
27,bicycle,1,5,11,weekend,1.0
28,bicycle,1,5,13,weekday,1.0
29,bicycle,1,5,16,weekday,1.0
30,bicycle,1,5,18,weekday,1.0
31,bicycle,1,5,19,weekday,1.0
32,bicycle,1,6,0,weekend,1.0
33,bicycle,1,6,0,weekday,1.0
34,bicycle,1,6,1,weekend,1.0
35,bicycle,1,6,4,weekday,1.0
36,bicycle,1,6,6,weekday,1.1666666666666667
37,bicycle,1,6,7,weekday,1.0
38,bicycle,1,6,8,weekend,1.0
39,bicycle,1,6,8,weekday,1.6428571428571428
40,bicycle,1,6,9,weekday,2.0
41,bicycle,1,6,10,weekend,1.0
42,bicycle,1,6,10,weekday,1.1428571428571428
43,bicycle,1,6,11,weekend,1.0
44,bicycle,1,6,11,weekday,1.0
45,bicycle,1,6,12,weekend,1.25
46,bicycle,1,6,12,weekday,1.25
47,bicycle,1,6,13,weekend,1.0
48,bicycle,1,6,13,weekday,1.0
49,bicycle,1,6,14,weekend,1.0
50,bicycle,1,6,14,weekday,1.0
51,bicycle,1,6,15,weekend,1.0
52,bicycle,1,6,15,weekday,1.2
53,bicycle,1,6,16,weekend,1.0
54,bicycle,1,6,16,weekday,1.0
55,bicycle,1,6,17,weekend,1.0
56,bicycle,1,6,17,weekday,1.3333333333333333
57,bicycle,1,6,18,weekend,1.0
58,bicycle,1,6,18,weekday,1.2857142857142858
59,bicycle,1,6,19,weekend,1.75
60,bicycle,1,6,19,weekday,1.6
61,bicycle,1,6,20,weekday,1.1428571428571428
62,bicycle,1,6,21,weekend,1.0
63,bicycle,1,6,21,weekday,1.5
64,bicycle,1,6,22,weekday,1.0
65,bicycle,1,6,23,weekend,1.0
66,bicycle,1,6,23,weekday,1.0
67,bicycle,2,3,0,weekend,1.0
68,bicycle,2,3,0,weekday,1.0
69,bicycle,2,3,1,weekend,1.0
70,bicycle,2,3,2,weekday,1.0
71,bicycle,2,3,3,weekday,1.5
72,bicycle,2,3,4,weekday,1.0
73,bicycle,2,3,5,weekend,1.0
74,bicycle,2,3,5,weekday,1.0
75,bicycle,2,3,6,weekend,1.0
76,bicycle,2,3,6,weekday,1.0
77,bicycle,2,3,7,weekend,1.0
78,bicycle,2,3,7,weekday,1.4615384615384615
79,bicycle,2,3,8,weekend,1.0
80,bicycle,2,3,8,weekday,2.8
81,bicycle,2,3,9,weekend,1.0
82,bicycle,2,3,9,weekday,2.5625
83,bicycle,2,3,10,weekend,1.0
84,bicycle,2,3,10,weekday,1.5555555555555556
85,bicycle,2,3,11,weekend,1.0
86,bicycle,2,3,11,weekday,1.5454545454545454
87,bicycle,2,3,12,weekend,1.6666666666666667
88,bicycle,2,3,12,weekday,1.6666666666666667
89,bicycle,2,3,13,weekend,2.5
90,bicycle,2,3,13,weekday,2.0
91,bicycle,2,3,14,weekend,1.25
92,bicycle,2,3,14,weekday,1.8571428571428572
93,bicycle,2,3,15,weekend,1.3333333333333333
94,bicycle,2,3,15,weekday,1.5
95,bicycle,2,3,16,weekend,2.6666666666666665
96,bicycle,2,3,16,weekday,1.8
97,bicycle,2,3,17,weekend,1.2
98,bicycle,2,3,17,weekday,2.230769230769231
99,bicycle,2,3,18,weekend,1.5
100,bicycle,2,3,18,weekday,2.8333333333333335
101,bicycle,2,3,19,weekend,1.5
102,bicycle,2,3,19,weekday,1.8571428571428572
